Channel,Language,Followers
Ninja,EN,"18,529,833"
auronplay,ES,"15,423,234"
ibai,ES,"14,991,261"
Rubius,ES,"14,168,884"
xQc,EN,"11,870,848"
TheGrefg,ES,"11,430,759"
Tfue,EN,"11,412,184"
juansguarnizo,ES,"10,785,253"
shroud,EN,"10,603,958"
pokimane,EN,"9,343,388"
sodapoppin,EN,"8,848,308"
ElMariana,ES,"8,167,602"
ElSpreen,ES,"8,146,597"
Heelmike,EN,"7,428,254"
tommyinnit,EN,"7,417,353"
AdinRoss,EN,"7,252,104"
NICKMERCS,EN,"6,723,963"
Riot Games,EN,"6,589,325"
alanzoka,PT,"6,552,787"
SypherPK,EN,"6,468,642"
Dream,EN,"6,416,073"
AMOURANTH,EN,"6,415,447"
AriGameplays,ES,"6,398,653"
summit1g,EN,"6,197,812"
ESL_CSGO,EN,"6,089,971"
Clix,EN,"6,079,541"
KaiCenat,EN,"6,058,976"
Quackity,EN,"6,044,188"
elded,ES,"5,504,556"
Fortnite,EN,"5,480,765"
Robleis,ES,"5,377,001"
Mongraal,EN,"5,361,610"
Bugha,EN,"5,250,613"
loltyler1,EN,"5,243,196"
Tubbo,EN,"5,141,719"
GeorgeNotFound,EN,"5,106,767"
moistcr1tikal,EN,"5,104,111"
MontanaBlack88,other,"5,008,023"
SLAKUN10,ES,"4,774,502"
WilburSoot,EN,"4,728,772"
Dakotaz,EN,"4,666,451"
rivers_gg,ES,"4,640,862"
NickEh30,EN,"4,608,277"
RanbooLive,EN,"4,487,026"
loud_coringa,PT,"4,419,239"
Squeezie,other,"4,332,178"
QuackityToo,ES,"4,311,423"
Philza,EN,"4,284,559"
Elraenn,other,"4,117,001"
RocketLeague,EN,"4,050,825"
